지점,일시,평균기온(°C),일 최심신적설(cm),일 최심적설(cm)
108,2005-05-10,14.2,,
108,2005-05-11,13.7,,
108,2005-05-12,14.1,,
108,2005-05-13,16.6,,
108,2005-05-14,16.7,,
108,2005-05-15,18.6,,
108,2005-05-16,19.6,,
108,2005-05-17,19.4,,
108,2005-05-18,15.4,,
108,2005-05-19,17.2,,
108,2005-05-20,18.5,,
108,2005-05-21,17.7,,
108,2005-05-22,15.9,,
108,2005-05-23,16.1,,
108,2005-05-24,17.6,,
108,2005-05-25,18.5,,
108,2005-05-26,19.3,,
108,2005-05-27,20.7,,
108,2005-05-28,22,,
108,2005-05-29,23.7,,
108,2005-05-30,21.5,,
108,2005-05-31,21,,
108,2005-06-01,19.8,,
108,2005-06-02,19.1,,
108,2005-06-03,18,,
108,2005-06-04,19.5,,
108,2005-06-05,22.8,,
108,2005-06-06,22.2,,
108,2005-06-07,21.7,,
108,2005-06-08,23,,
108,2005-06-09,23.6,,
108,2005-06-10,19.1,,
108,2005-06-11,21,,
108,2005-06-12,21.8,,
108,2005-06-13,24.8,,
108,2005-06-14,24.1,,
108,2005-06-15,21.2,,
108,2005-06-16,21.2,,
108,2005-06-17,22.5,,
108,2005-06-18,23.1,,
108,2005-06-19,23.6,,
108,2005-06-20,23.6,,
108,2005-06-21,24.5,,
108,2005-06-22,24.1,,
108,2005-06-23,24.4,,
108,2005-06-24,25.9,,
108,2005-06-25,25.4,,
108,2005-06-26,24.7,,
108,2005-06-27,22.7,,
108,2005-06-28,23.8,,
108,2005-06-29,22.8,,
108,2005-06-30,25.7,,
108,2005-07-01,23.8,,
108,2005-07-02,23.9,,
108,2005-07-03,21.5,,
108,2005-07-04,24.2,,
108,2005-07-05,23.1,,
108,2005-07-06,24.6,,
108,2005-07-07,24.1,,
108,2005-07-08,25.1,,
108,2005-07-09,22.4,,
108,2005-07-10,23.7,,
108,2005-07-11,20.7,,
108,2005-07-12,23.1,,
108,2005-07-13,23.3,,
108,2005-07-14,25,,
108,2005-07-15,25.8,,
108,2005-07-16,26,,
108,2005-07-17,24.8,,
108,2005-07-18,26.4,,
108,2005-07-19,26.5,,
108,2005-07-20,27,,
108,2005-07-21,27.1,,
108,2005-07-22,29.1,,
108,2005-07-23,30.2,,
108,2005-07-24,29.2,,
108,2005-07-25,27.8,,
108,2005-07-26,27.6,,
108,2005-07-27,27,,
108,2005-07-28,23.1,,
108,2005-07-29,25.4,,
108,2005-07-30,26.1,,
108,2005-07-31,26.9,,
108,2005-08-01,25.3,,
108,2005-08-02,26.3,,
108,2005-08-03,24.8,,
108,2005-08-04,28.5,,
108,2005-08-05,29.3,,
108,2005-08-06,29,,
108,2005-08-07,26.9,,
108,2005-08-08,26.2,,
108,2005-08-09,26.4,,
108,2005-08-10,25.1,,
108,2005-08-11,25.2,,
108,2005-08-12,26,,
108,2005-08-13,27.2,,
108,2005-08-14,27.3,,
108,2005-08-15,27.2,,
108,2005-08-16,28.3,,
108,2005-08-17,28.1,,
108,2005-08-18,25.5,,
108,2005-08-19,21.6,,
108,2005-08-20,23.2,,
108,2005-08-21,24.1,,
108,2005-08-22,23.1,,
108,2005-08-23,24.1,,
108,2005-08-24,20.6,,
108,2005-08-25,17.6,,
108,2005-08-26,21.2,,
108,2005-08-27,23.6,,
108,2005-08-28,22.9,,
108,2005-08-29,24.6,,
108,2005-08-30,24.1,,
108,2005-08-31,25.6,,
108,2005-09-01,26.8,,
108,2005-09-02,25.2,,
108,2005-09-03,23.7,,
108,2005-09-04,22.5,,
108,2005-09-05,22.4,,
108,2005-09-06,21.9,,
108,2005-09-07,23.3,,
108,2005-09-08,24.4,,
108,2005-09-09,22.6,,
108,2005-09-10,24.1,,
108,2005-09-11,26.3,,
108,2005-09-12,25.8,,
108,2005-09-13,20.5,,
108,2005-09-14,20.2,,
108,2005-09-15,21.4,,
108,2005-09-16,22.8,,
108,2005-09-17,22.5,,
108,2005-09-18,22.8,,
108,2005-09-19,20.1,,
108,2005-09-20,20.1,,
108,2005-09-21,15.9,,
108,2005-09-22,17.1,,
108,2005-09-23,20.1,,
108,2005-09-24,20.9,,
108,2005-09-25,20.5,,
108,2005-09-26,21,,
108,2005-09-27,21,,
108,2005-09-28,20.8,,
108,2005-09-29,20.8,,
108,2005-09-30,17.7,,
108,2005-10-01,20.1,,
108,2005-10-02,19.2,,
108,2005-10-03,16.4,,
108,2005-10-04,16.6,,
108,2005-10-05,16.5,,
108,2005-10-06,17.6,,
108,2005-10-07,14.4,,
108,2005-10-08,16.1,,
108,2005-10-09,16.2,,
108,2005-10-10,17.4,,
108,2005-10-11,17.4,,
108,2005-10-12,17.5,,
108,2005-10-13,17.4,,
108,2005-10-14,15,,
108,2005-10-15,14.6,,
108,2005-10-16,14.3,,
108,2005-10-17,15.7,,
108,2005-10-18,15.4,,
108,2005-10-19,15.7,,
108,2005-10-20,15.8,,
108,2005-10-21,12.4,,
108,2005-10-22,8,,
108,2005-10-23,9.5,,
108,2005-10-24,12.6,,
108,2005-10-25,14.1,,
108,2005-10-26,14.9,,
108,2005-10-27,14.6,,
108,2005-10-28,12.4,,
108,2005-10-29,9.2,,
108,2005-10-30,7.9,,
108,2005-10-31,9.7,,
108,2005-11-01,12.5,,
108,2005-11-02,14.3,,
108,2005-11-03,15.8,,
108,2005-11-04,16.4,,
108,2005-11-05,16.8,,
108,2005-11-06,14.1,,
108,2005-11-07,10.7,,
108,2005-11-08,8.8,,
108,2005-11-09,10.6,,
108,2005-11-10,13.9,,
108,2005-11-11,12.8,,
108,2005-11-12,9.1,,
108,2005-11-13,8.9,,
108,2005-11-14,5.7,,
108,2005-11-15,3.3,,
108,2005-11-16,3.1,,
108,2005-11-17,3.5,,
108,2005-11-18,3.6,,
108,2005-11-19,2.9,,
108,2005-11-20,3.5,,
108,2005-11-21,5.7,,
108,2005-11-22,5.1,,
108,2005-11-23,8.5,,
108,2005-11-24,8.4,,
108,2005-11-25,8.4,,
108,2005-11-26,8.2,,
108,2005-11-27,8.4,,
108,2005-11-28,7.2,,
108,2005-11-29,3.2,,
108,2005-11-30,3.6,,
108,2005-12-01,5.9,,
108,2005-12-02,1,,
108,2005-12-03,-.7,7.6,7.6
108,2005-12-04,-5.1,1.5,8.8
108,2005-12-05,-5.2,,3.4
108,2005-12-06,-2.5,,.6
108,2005-12-07,-1.8,,.5
108,2005-12-08,-2.3,,
108,2005-12-09,-1.4,,
108,2005-12-10,-2.9,,
108,2005-12-11,-6.3,,
108,2005-12-12,-8,,
108,2005-12-13,-8.6,,
108,2005-12-14,-5.8,,
108,2005-12-15,-4.5,,
108,2005-12-16,-3.3,,
108,2005-12-17,-9.7,,
108,2005-12-18,-9.2,1,1
108,2005-12-19,-5,,
108,2005-12-20,-2.8,,
108,2005-12-21,-6.2,1.6,1.6
108,2005-12-22,-6.6,.5,.5
108,2005-12-23,-3.2,.2,.7
108,2005-12-24,-4.2,,
108,2005-12-25,-1.7,.7,.7
108,2005-12-26,-7.5,,
108,2005-12-27,-6.9,,
108,2005-12-28,-5,,
108,2005-12-29,-2.9,,
108,2005-12-30,.1,.4,.4
108,2005-12-31,1.4,,
108,2006-01-01,1.4,,
108,2006-01-02,.2,,
108,2006-01-03,-2.4,,
108,2006-01-04,-6.2,,
108,2006-01-05,-7.1,,
108,2006-01-06,-7.5,,
108,2006-01-07,-6.2,,
108,2006-01-08,-4.2,,
108,2006-01-09,-1.6,1.5,1.5
108,2006-01-10,-.3,,1.4
108,2006-01-11,-1.2,,
108,2006-01-12,1.4,,
108,2006-01-13,4.1,,
108,2006-01-14,4.4,,
108,2006-01-15,3.7,,
108,2006-01-16,1.8,,
108,2006-01-17,1.3,,
108,2006-01-18,1.3,,
108,2006-01-19,2.4,,
108,2006-01-20,2.6,,
108,2006-01-21,.9,,
108,2006-01-22,-3.1,,
108,2006-01-23,-4.7,,
108,2006-01-24,-3.1,,
108,2006-01-25,-.7,,
108,2006-01-26,.2,,
108,2006-01-27,1.4,,
108,2006-01-28,1.3,,
108,2006-01-29,4.5,,
108,2006-01-30,5,,
108,2006-01-31,3.8,,
108,2006-02-01,1.7,,
108,2006-02-02,-2.9,,
108,2006-02-03,-11.7,,
108,2006-02-04,-9.3,,
108,2006-02-05,-5.3,,
108,2006-02-06,.2,,
108,2006-02-07,-.9,7,7
108,2006-02-08,-7.2,,5.5
108,2006-02-09,-4.5,1.1,5.1
108,2006-02-10,1.4,,5.1
108,2006-02-11,1.2,,2.4
108,2006-02-12,-1.8,,
108,2006-02-13,4.5,,
108,2006-02-14,5.5,,
108,2006-02-15,4.6,,
108,2006-02-16,1.7,,
108,2006-02-17,-4.5,,
108,2006-02-18,.2,,
108,2006-02-19,3.3,,
108,2006-02-20,3.8,,
108,2006-02-21,4.4,,
108,2006-02-22,3,,
108,2006-02-23,1.1,,
108,2006-02-24,4.6,,
108,2006-02-25,7,,
108,2006-02-26,.5,,
108,2006-02-27,-.5,,
108,2006-02-28,2.8,,
108,2006-03-01,0,2.8,2.8
108,2006-03-02,-.9,1.5,1.5
108,2006-03-03,.5,,
108,2006-03-04,3.6,,
108,2006-03-05,7.9,,
108,2006-03-06,5.9,,
108,2006-03-07,5.7,,
108,2006-03-08,5.7,,
108,2006-03-09,10.7,,
108,2006-03-10,9.9,,
108,2006-03-11,6.2,,
108,2006-03-12,-4.3,,
108,2006-03-13,-2,,
108,2006-03-14,.8,,
108,2006-03-15,5.7,,
108,2006-03-16,4.1,,
108,2006-03-17,8.8,,
108,2006-03-18,9,,
108,2006-03-19,4.3,,
108,2006-03-20,5.1,,
108,2006-03-21,9.7,,
108,2006-03-22,10.3,,
108,2006-03-23,6.3,,
108,2006-03-24,6.2,,
108,2006-03-25,8.9,,
108,2006-03-26,6.5,,
108,2006-03-27,6.8,,
108,2006-03-28,2.9,,
108,2006-03-29,3.8,,
108,2006-03-30,4.4,,
108,2006-03-31,8.1,,
108,2006-04-01,9.7,,
108,2006-04-02,7.4,,
108,2006-04-03,11.4,,
108,2006-04-04,12,,
108,2006-04-05,11.6,,
108,2006-04-06,9.7,,
108,2006-04-07,10.2,,
108,2006-04-08,10.2,,
108,2006-04-09,15.2,,
108,2006-04-10,14.7,,
108,2006-04-11,16.4,,
108,2006-04-12,15,,
108,2006-04-13,9.7,,
108,2006-04-14,12.7,,
108,2006-04-15,12,,
108,2006-04-16,7.4,,
108,2006-04-17,10.3,,
108,2006-04-18,14.6,,
108,2006-04-19,8.8,,
108,2006-04-20,7.3,,
108,2006-04-21,10.6,,
108,2006-04-22,11.8,,
108,2006-04-23,9.2,,
108,2006-04-24,10.4,,
108,2006-04-25,11.3,,
108,2006-04-26,12,,
108,2006-04-27,12.3,,
108,2006-04-28,12.8,,
108,2006-04-29,13.9,,
108,2006-04-30,15.9,,
108,2006-05-01,18,,
108,2006-05-02,17.2,,
108,2006-05-03,15.7,,
108,2006-05-04,17.7,,
108,2006-05-05,20.7,,
108,2006-05-06,15.1,,
108,2006-05-07,19.7,,
108,2006-05-08,21,,
108,2006-05-09,21.3,,
108,2006-05-10,18.2,,
108,2006-05-11,18.9,,
108,2006-05-12,16.8,,
108,2006-05-13,15.2,,
108,2006-05-14,16,,
108,2006-05-15,18.6,,
108,2006-05-16,18.8,,
108,2006-05-17,18.8,,
108,2006-05-18,20.2,,
108,2006-05-19,17.9,,
108,2006-05-20,18.2,,
108,2006-05-21,22.5,,
108,2006-05-22,17.5,,
108,2006-05-23,15,,
108,2006-05-24,18.5,,
108,2006-05-25,18.8,,
108,2006-05-26,21.6,,
108,2006-05-27,16.3,,
108,2006-05-28,17.3,,
108,2006-05-29,18.4,,
108,2006-05-30,20.5,,
108,2006-05-31,21.3,,
108,2006-06-01,22.7,,
108,2006-06-02,25.9,,
108,2006-06-03,23.4,,
108,2006-06-04,20.8,,
108,2006-06-05,21.3,,
108,2006-06-06,21.9,,
108,2006-06-07,21.9,,
108,2006-06-08,20.1,,
108,2006-06-09,21,,
108,2006-06-10,17.3,,
108,2006-06-11,16.9,,
108,2006-06-12,21.3,,
108,2006-06-13,23.5,,
108,2006-06-14,19,,
108,2006-06-15,18.5,,
108,2006-06-16,21.4,,
108,2006-06-17,22.2,,
108,2006-06-18,21.5,,
108,2006-06-19,22.9,,
108,2006-06-20,22.5,,
108,2006-06-21,19.2,,
108,2006-06-22,22.6,,
108,2006-06-23,23.9,,
108,2006-06-24,24.4,,
108,2006-06-25,24.4,,
108,2006-06-26,20.4,,
108,2006-06-27,21.1,,
108,2006-06-28,23.7,,
108,2006-06-29,25,,
108,2006-06-30,23.2,,
108,2006-07-01,22.6,,
108,2006-07-02,23,,
108,2006-07-03,24.1,,
108,2006-07-04,22.4,,
108,2006-07-05,21.5,,
108,2006-07-06,21.1,,
108,2006-07-07,23,,
108,2006-07-08,25.5,,
108,2006-07-09,25.7,,
108,2006-07-10,23.8,,
108,2006-07-11,24.7,,
108,2006-07-12,23.8,,
108,2006-07-13,25.2,,
108,2006-07-14,27.2,,
108,2006-07-15,24.1,,
108,2006-07-16,18.7,,
108,2006-07-17,19.2,,
108,2006-07-18,19.1,,
108,2006-07-19,21.8,,
108,2006-07-20,21.7,,
108,2006-07-21,22.1,,
108,2006-07-22,23.4,,
108,2006-07-23,23.4,,
108,2006-07-24,23.4,,
108,2006-07-25,24.7,,
108,2006-07-26,22.2,,
108,2006-07-27,20.9,,
108,2006-07-28,21.8,,
108,2006-07-29,24.6,,
108,2006-07-30,26.1,,
108,2006-07-31,26.5,,
108,2006-08-01,27.7,,
108,2006-08-02,28,,
108,2006-08-03,28.6,,
108,2006-08-04,29.5,,
108,2006-08-05,29,,
108,2006-08-06,28.3,,
108,2006-08-07,27.2,,
108,2006-08-08,29,,
108,2006-08-09,29.2,,
108,2006-08-10,28.6,,
108,2006-08-11,26.6,,
108,2006-08-12,27.5,,
108,2006-08-13,28.8,,
108,2006-08-14,29.3,,
108,2006-08-15,28.2,,
108,2006-08-16,28.3,,
108,2006-08-17,26.6,,
108,2006-08-18,26.5,,
108,2006-08-19,24.8,,
108,2006-08-20,23.6,,
108,2006-08-21,27.2,,
108,2006-08-22,27.6,,
108,2006-08-23,27.1,,
108,2006-08-24,27,,
108,2006-08-25,25.1,,
108,2006-08-26,25.2,,
108,2006-08-27,24.2,,
108,2006-08-28,25.4,,
108,2006-08-29,23.7,,
108,2006-08-30,25.2,,
108,2006-08-31,25.2,,
108,2006-09-01,24.2,,
108,2006-09-02,25.6,,
108,2006-09-03,25.5,,
108,2006-09-04,21.4,,
108,2006-09-05,21.1,,
108,2006-09-06,19.8,,
108,2006-09-07,22,,
108,2006-09-08,22,,
108,2006-09-09,17.2,,
108,2006-09-10,15.8,,
108,2006-09-11,16.5,,
108,2006-09-12,19.9,,
108,2006-09-13,21.8,,
108,2006-09-14,21.5,,
108,2006-09-15,20.8,,
108,2006-09-16,21.6,,
108,2006-09-17,20.2,,
108,2006-09-18,18.2,,
108,2006-09-19,20.2,,
108,2006-09-20,22.1,,
108,2006-09-21,23.5,,
108,2006-09-22,22.9,,
108,2006-09-23,21.5,,
108,2006-09-24,21.2,,
108,2006-09-25,20.9,,
108,2006-09-26,21.6,,
108,2006-09-27,22,,
108,2006-09-28,20.5,,
108,2006-09-29,20.7,,
108,2006-09-30,20.7,,
108,2006-10-01,20.7,,
108,2006-10-02,20.7,,
108,2006-10-03,20.6,,
108,2006-10-04,21.6,,
108,2006-10-05,21.4,,
108,2006-10-06,21.1,,
108,2006-10-07,20.3,,
108,2006-10-08,19.7,,
108,2006-10-09,20.1,,
108,2006-10-10,20.9,,
108,2006-10-11,19.3,,
108,2006-10-12,16.4,,
108,2006-10-13,17.9,,
108,2006-10-14,18.5,,
108,2006-10-15,18.9,,
108,2006-10-16,19.7,,
108,2006-10-17,18.9,,
108,2006-10-18,19.4,,
108,2006-10-19,19.5,,
108,2006-10-20,19.1,,
108,2006-10-21,18.7,,
108,2006-10-22,16.5,,
108,2006-10-23,12,,
108,2006-10-24,13.2,,
108,2006-10-25,13.5,,
108,2006-10-26,15,,
108,2006-10-27,13.6,,
108,2006-10-28,14.7,,
108,2006-10-29,15.3,,
108,2006-10-30,13.9,,
108,2006-10-31,14.8,,
108,2006-11-01,15.6,,
108,2006-11-02,14.5,,
108,2006-11-03,14.8,,
108,2006-11-04,16,,
108,2006-11-05,13.3,,
108,2006-11-06,4.6,,
108,2006-11-07,3.5,,
108,2006-11-08,13,,
108,2006-11-09,13.8,,
108,2006-11-10,8.4,,
108,2006-11-11,5.3,,
108,2006-11-12,5.8,,
108,2006-11-13,9.1,,
108,2006-11-14,5.6,,
108,2006-11-15,5.6,,
108,2006-11-16,3.4,,
108,2006-11-17,5.5,,
108,2006-11-18,7.2,,
108,2006-11-19,8.8,,
108,2006-11-20,8.6,,
108,2006-11-21,8.4,,
108,2006-11-22,7.1,,
108,2006-11-23,7.9,,
108,2006-11-24,7.3,,
108,2006-11-25,9.1,,
108,2006-11-26,11.3,,
108,2006-11-27,8.1,,
108,2006-11-28,5.1,,
108,2006-11-29,2,,
108,2006-11-30,1.8,.2,.2
108,2006-12-01,3.1,,
108,2006-12-02,-2.8,,
108,2006-12-03,-4.5,,
108,2006-12-04,-1.4,,
108,2006-12-05,2.4,,
108,2006-12-06,3.2,,
108,2006-12-07,5,,
108,2006-12-08,6.6,,
108,2006-12-09,2.5,,
108,2006-12-10,-.4,,
108,2006-12-11,1.8,,
108,2006-12-12,5.2,,
108,2006-12-13,5.7,,
108,2006-12-14,3.3,,
108,2006-12-15,3.2,,
108,2006-12-16,2.4,4.1,4.1
108,2006-12-17,-1,9,13.1
108,2006-12-18,-2.4,,6.1
108,2006-12-19,.8,,3
108,2006-12-20,4.1,,2
108,2006-12-21,3.6,,
108,2006-12-22,4.1,,
108,2006-12-23,2.5,,
108,2006-12-24,2.4,,
108,2006-12-25,5.8,,
108,2006-12-26,7.1,,
108,2006-12-27,.9,,
108,2006-12-28,-8.4,,
108,2006-12-29,-8.1,,
108,2006-12-30,-3.6,,
108,2006-12-31,.7,,
108,2007-01-01,3.3,,
108,2007-01-02,3.1,,
108,2007-01-03,5.3,,
108,2007-01-04,4.8,,
108,2007-01-05,4.5,,
108,2007-01-06,-1.2,7.5,7.5
108,2007-01-07,-3.9,,6.4
108,2007-01-08,-3,,3.5
108,2007-01-09,-1.7,,2.3
108,2007-01-10,-.4,,1.1
108,2007-01-11,-1.6,,.4
108,2007-01-12,-3,,.1
108,2007-01-13,-5.2,,
108,2007-01-14,-2.7,,
108,2007-01-15,-.2,,
108,2007-01-16,2.2,,
108,2007-01-17,2.3,,
108,2007-01-18,1,,
108,2007-01-19,.2,,
108,2007-01-20,1,,
108,2007-01-21,1.8,,
108,2007-01-22,2,,
108,2007-01-23,1.9,,
108,2007-01-24,1.5,,
108,2007-01-25,1,,
108,2007-01-26,1.4,,
108,2007-01-27,.7,,
108,2007-01-28,.2,,
108,2007-01-29,1,,
108,2007-01-30,-.4,.3,.3
108,2007-01-31,-3.7,,
108,2007-02-01,-5.4,,
108,2007-02-02,-5,,
108,2007-02-03,.3,,
108,2007-02-04,3,,
108,2007-02-05,4.5,,
108,2007-02-06,8,,
108,2007-02-07,7.1,,
108,2007-02-08,5.6,,
108,2007-02-09,4.6,,
108,2007-02-10,3.5,,
108,2007-02-11,1.3,,
108,2007-02-12,3.4,,
108,2007-02-13,3.7,,
108,2007-02-14,-.1,,
108,2007-02-15,0,,
108,2007-02-16,3.1,,
108,2007-02-17,6.2,,
108,2007-02-18,5.6,,
108,2007-02-19,4.4,,
108,2007-02-20,5.6,,
108,2007-02-21,5.2,,
108,2007-02-22,7.6,,
108,2007-02-23,2.9,,
108,2007-02-24,4.3,,
108,2007-02-25,7.3,,
108,2007-02-26,8.3,,
108,2007-02-27,7.7,,
108,2007-02-28,8.1,,
108,2007-03-01,10.2,,
108,2007-03-02,8.3,,
108,2007-03-03,10.4,,
108,2007-03-04,10.9,,
108,2007-03-05,-2.1,,
108,2007-03-06,-5,,
108,2007-03-07,-2.8,1.6,1.6
108,2007-03-08,.7,.3,1.3
108,2007-03-09,4.9,,
108,2007-03-10,2.3,,
108,2007-03-11,.1,,
108,2007-03-12,3.1,,
108,2007-03-13,5.1,,
108,2007-03-14,6.6,,
108,2007-03-15,9.1,,
108,2007-03-16,7.9,,
108,2007-03-17,6.9,,
108,2007-03-18,6.3,,
108,2007-03-19,6.8,,
108,2007-03-20,5.4,,
108,2007-03-21,6.7,,
108,2007-03-22,7.9,,
108,2007-03-23,10.8,,
108,2007-03-24,9.5,,
108,2007-03-25,8,,
108,2007-03-26,9.6,,
108,2007-03-27,10.5,,
108,2007-03-28,5.5,,
108,2007-03-29,5.6,,
108,2007-03-30,9.6,,
108,2007-03-31,8.9,,
108,2007-04-01,9.1,,
108,2007-04-02,5.6,,
108,2007-04-03,5.5,,
108,2007-04-04,6.3,,
108,2007-04-05,8.3,,
108,2007-04-06,9.5,,
108,2007-04-07,9.3,,
108,2007-04-08,9.5,,
108,2007-04-09,10.8,,
108,2007-04-10,10.4,,
108,2007-04-11,11.1,,
108,2007-04-12,11.8,,
108,2007-04-13,9.6,,
108,2007-04-14,10.5,,
108,2007-04-15,12.2,,
108,2007-04-16,9.5,,
108,2007-04-17,10.4,,
108,2007-04-18,11.1,,
108,2007-04-19,12.7,,
108,2007-04-20,12.5,,
108,2007-04-21,15.2,,
108,2007-04-22,13.1,,
108,2007-04-23,14.3,,
108,2007-04-24,12.9,,
108,2007-04-25,12.9,,
108,2007-04-26,14.7,,
108,2007-04-27,15.2,,
108,2007-04-28,14.8,,
108,2007-04-29,16.3,,
108,2007-04-30,15.7,,
108,2007-05-01,14,,
108,2007-05-02,15.6,,
108,2007-05-03,15.3,,
108,2007-05-04,16.3,,
108,2007-05-05,19.2,,
108,2007-05-06,20,,
108,2007-05-07,19.5,,
108,2007-05-08,19.4,,
108,2007-05-09,15.9,,
108,2007-05-10,15.7,,
108,2007-05-11,18.7,,
108,2007-05-12,13,,
108,2007-05-13,16.6,,
108,2007-05-14,16.5,,
108,2007-05-15,19.6,,
108,2007-05-16,17.3,,
108,2007-05-17,18.3,,
108,2007-05-18,14.3,,
108,2007-05-19,16,,
108,2007-05-20,17.4,,
108,2007-05-21,18.4,,
108,2007-05-22,19.7,,
108,2007-05-23,20.7,,
108,2007-05-24,19.8,,
108,2007-05-25,19.7,,
108,2007-05-26,20.3,,
108,2007-05-27,22.5,,
108,2007-05-28,21.3,,
108,2007-05-29,18.1,,
108,2007-05-30,19.7,,
108,2007-05-31,22.2,,
108,2007-06-01,20.4,,
108,2007-06-02,23.2,,
108,2007-06-03,23.8,,
108,2007-06-04,22.4,,
108,2007-06-05,19.9,,
108,2007-06-06,20.1,,
108,2007-06-07,19.3,,
108,2007-06-08,19.4,,
108,2007-06-09,20.3,,
108,2007-06-10,23.6,,
108,2007-06-11,24.4,,
108,2007-06-12,24.4,,
108,2007-06-13,23.8,,
108,2007-06-14,23.4,,
108,2007-06-15,23.1,,
108,2007-06-16,25.5,,
108,2007-06-17,25.6,,
108,2007-06-18,26.3,,
108,2007-06-19,26.4,,
108,2007-06-20,24.2,,
108,2007-06-21,21,,
108,2007-06-22,25.4,,
108,2007-06-23,24.8,,
108,2007-06-24,21.2,,
108,2007-06-25,21.7,,
108,2007-06-26,25.4,,
108,2007-06-27,25.9,,
108,2007-06-28,24.6,,
108,2007-06-29,21.8,,
108,2007-06-30,24.2,,
108,2007-07-01,19.8,,
108,2007-07-02,20.6,,
108,2007-07-03,23.6,,
108,2007-07-04,22.7,,
108,2007-07-05,22.6,,
108,2007-07-06,26.2,,
108,2007-07-07,26.4,,
108,2007-07-08,25.8,,
108,2007-07-09,25.9,,
108,2007-07-10,22.4,,
108,2007-07-11,18.9,,
