,날짜,평균  기온,최고  기온,최저  기온,강수량(mm),신적설(cm),평균  풍속(m/s),평균  습도  (%),운량(1/10),일조  시간  (Hr),날씨
123,2018년 05월04일 (금),14.1,20,8.8,-,-,2.6,46,1.4,12.4,맑음
124,2018년 05월05일 (토),18.3,24.6,11.6,-,-,2.8,47,6,11,구름많음
125,2018년 05월06일 (일),16.6,20.7,15,22,-,1,86,9.2,3.2,흐림/비
126,2018년 05월07일 (월),19.1,25.5,14,-,-,1.2,60,6,7.1,구름많음
127,2018년 05월08일 (화),17.4,22.9,11.6,-,-,1.7,51,3,11.3,구름조금
128,2018년 05월09일 (수),15.7,21.8,9.2,-,-,1.7,50,0.1,12.6,맑음
129,2018년 05월10일 (목),15.4,21.4,11.3,-,-,2.3,67,3.1,12.3,구름조금/안개
130,2018년 05월11일 (금),16.1,21.3,11.9,-,-,1.7,60,9.5,5.3,흐림/안개
131,2018년 05월12일 (토),14.2,16.1,11.8,32,-,1,89,10,0,흐림/비/안개
132,2018년 05월13일 (일),15.8,20,12.7,0.5,-,1.8,83,5.2,6.9,구름많음/안개/이슬비
133,2018년 05월14일 (월),18.2,24.5,11.9,-,-,1.4,71,6.6,7.2,구름많음/안개
134,2018년 05월15일 (화),23.2,29.3,15.4,0,-,1.1,56,8.5,8.9,흐림/비/안개
135,2018년 05월16일 (수),22.3,24.4,21.8,45,-,1.8,94,10,0,흐림/비/안개/이슬비/천둥번개
136,2018년 05월17일 (목),20.9,23.5,18.8,83,-,1.2,97,10,0,흐림/비/이슬비/천둥번개
137,2018년 05월18일 (금),16.3,19.3,12.2,6.5,-,1.3,87,8.2,0.4,흐림/비/이슬비
138,2018년 05월19일 (토),17.6,24.7,10.3,-,-,1.5,48,0,12.7,맑음
139,2018년 05월20일 (일),17,22.6,11.5,-,-,1.4,32,4.6,4.2,구름조금
140,2018년 05월21일 (월),17.8,23.7,11.3,-,-,1.4,44,3.9,8.8,구름조금
141,2018년 05월22일 (화),18.1,23.2,15.4,12.5,-,1.1,76,9,2.7,흐림/비
142,2018년 05월23일 (수),17.3,23.3,13.6,6.5,-,2.7,57,1.4,12.7,맑음/비
143,2018년 05월24일 (목),18.3,23.7,11.2,-,-,2.3,47,0.5,12.5,맑음/안개/황사
144,2018년 05월25일 (금),19.7,26.2,13.8,-,-,1.7,47,3.4,12.1,구름조금/안개
145,2018년 05월26일 (토),21.8,29.6,14,-,-,1.4,50,1,12.6,맑음/안개
146,2018년 05월27일 (일),20.3,24.7,17.3,-,-,1.9,47,7.2,4.7,구름많음
147,2018년 05월28일 (월),22.3,29.1,16.2,-,-,1.6,50,3.8,12.5,구름조금/안개
148,2018년 05월29일 (화),21.4,25.9,19.1,1,-,1.8,69,9.4,3.4,흐림/비/안개
149,2018년 05월30일 (수),20.2,24.7,15.8,0,-,1.8,70,4.6,9.8,구름조금/비/안개/이슬비
150,2018년 05월31일 (목),20.9,27.6,14.2,-,-,1.9,59,0.9,12.9,맑음/안개
151,2018년 06월01일 (금),23.8,30.2,17.5,-,-,2,50,0,12.9,맑음/안개
152,2018년 06월02일 (토),23.4,30.1,17.6,-,-,2,45,1.4,12.8,맑음/안개
153,2018년 06월03일 (일),24,30.8,16.9,-,-,1.7,39,4,12.9,구름조금
154,2018년 06월04일 (월),22.6,27.5,18.9,-,-,1.8,50,7.9,9.2,구름많음
155,2018년 06월05일 (화),23.7,29.2,17.7,-,-,1.7,53,1.4,11.4,맑음/안개
156,2018년 06월06일 (수),23,27.9,18.4,-,-,2.1,63,1,12.7,맑음/안개
157,2018년 06월07일 (목),22.2,29.4,17.8,-,-,2,69,4.5,9.4,구름조금/안개
158,2018년 06월08일 (금),21.9,27,18.5,-,-,2,68,5.5,7.1,구름많음/안개
159,2018년 06월09일 (토),23.7,30.1,18.9,0.5,-,1.4,61,6.6,7.9,구름많음/비/안개
160,2018년 06월10일 (일),21.3,24.9,18.3,0.5,-,1.4,60,9.5,1.4,흐림/비
161,2018년 06월11일 (월),20.2,23.9,18,5,-,1.4,67,8.5,3.3,흐림/비/소나기
162,2018년 06월12일 (화),21.3,27.1,16.6,0,-,1.7,66,4.5,12.1,구름조금/비
163,2018년 06월13일 (수),22,27,18.3,0,-,1.4,64,7.4,4.9,구름많음/비/안개
164,2018년 06월14일 (목),21.5,25.1,18.8,29,-,1.1,75,9.5,1.4,흐림/비/안개
165,2018년 06월15일 (금),21.7,27,17.2,16.5,-,1.4,61,6.1,9.8,구름많음/비/천둥번개
166,2018년 06월16일 (토),22.5,28.7,16.3,-,-,1.5,56,0.8,13,맑음
167,2018년 06월17일 (일),22.8,27.5,18.9,-,-,1.4,67,7.8,2.4,구름많음/안개
168,2018년 06월18일 (월),24.8,30.8,19.9,-,-,1.5,55,3.6,12.6,구름조금/안개
169,2018년 06월19일 (화),22.4,27.2,19.1,-,-,1.8,61,8.1,3.1,흐림/안개
170,2018년 06월20일 (수),22.7,28.4,19.1,-,-,2.5,68,5.4,10.2,구름많음/안개
171,2018년 06월21일 (목),23.7,28.7,19.4,-,-,2.1,60,3,12.6,구름조금/안개
172,2018년 06월22일 (금),25,32,18.2,-,-,1.7,45,5.1,12.4,구름많음/안개
173,2018년 06월23일 (토),24.5,28.9,20.9,-,-,1.9,51,8,8.5,흐림/안개
174,2018년 06월24일 (일),25.2,32.1,20.1,-,-,1.9,63,4,11.1,구름조금/안개
175,2018년 06월25일 (월),27.1,32.9,21.3,-,-,1.2,57,7.9,7.8,구름많음/안개
176,2018년 06월26일 (화),22.3,26.9,20.2,71.5,-,2.3,88,10,0,흐림/비/안개
177,2018년 06월27일 (수),22.3,25.5,19.1,1,-,1.9,82,8.8,2.9,흐림/비/안개/이슬비
178,2018년 06월28일 (목),23.3,27.3,20.6,26.5,-,1.2,85,9.5,1.9,흐림/비/소나기/안개/이슬비/천둥번개
179,2018년 06월29일 (금),24.7,29.1,21.9,6.5,-,1.5,79,7.2,8.4,구름많음/비/소나기/안개
180,2018년 06월30일 (토),24.4,27.9,21.6,14.5,-,0.8,84,9.1,0.5,흐림/비/소나기/안개/천둥번개
181,2018년 07월01일 (일),21.9,22.8,21,83.5,-,0.8,95,9.9,0,흐림/비
182,2018년 07월02일 (월),22.6,25.3,20.6,59.5,-,0.8,95,9.6,0.1,흐림/비/안개
183,2018년 07월03일 (화),27.4,32.6,22.5,0.1,-,0.8,74,6,10.1,구름많음/비/소나기
184,2018년 07월04일 (수),27.3,31.8,24,-,-,1.7,70,7.1,8.4,구름많음
185,2018년 07월05일 (목),25.3,29,23.4,0.5,-,1.2,73,8.6,1.7,흐림/비/소나기/안개
186,2018년 07월06일 (금),23.9,27.1,21.5,-,-,1.8,58,8.5,2.6,흐림
187,2018년 07월07일 (토),23.7,29.2,19.5,-,-,1.6,51,3.6,9.6,구름조금
188,2018년 07월08일 (일),23.3,28.1,17.7,-,-,1.5,52,7,9.5,구름많음
189,2018년 07월09일 (월),20.8,24.2,20.1,14,-,1,82,9.9,0,흐림/비
190,2018년 07월10일 (화),23.7,26.5,20.4,16.5,-,0.7,88,9.8,0,흐림/비
191,2018년 07월11일 (수),26.8,29.5,24.4,3,-,1.3,83,9.6,0.1,흐림/비
192,2018년 07월12일 (목),26.6,28.2,25.1,1,-,1.5,82,7.5,1.1,구름많음/비/안개
193,2018년 07월13일 (금),27.3,30.9,24.7,-,-,1.9,75,6.4,7,구름많음
194,2018년 07월14일 (토),27.9,31.9,24.6,0,-,1.9,70,5,11.3,구름많음/이슬비
195,2018년 07월15일 (일),28.3,33.2,24.5,-,-,1.6,70,2.6,11,구름조금
196,2018년 07월16일 (월),28.7,34,24,-,-,1.7,64,0.4,12.9,맑음
197,2018년 07월17일 (화),28.1,32.1,23.9,-,-,1.7,67,1.2,13,맑음/안개
198,2018년 07월18일 (수),28.2,33.2,23.7,-,-,1.4,65,0.8,13,맑음/안개
199,2018년 07월19일 (목),28.7,34.1,23.2,-,-,1.7,64,0.1,12.9,맑음/안개
200,2018년 07월20일 (금),29.5,34.7,24.6,-,-,1.4,63,0.4,12.9,맑음/안개
201,2018년 07월21일 (토),30.6,36.9,24.9,-,-,1.4,54,0.2,12.9,맑음/안개
202,2018년 07월22일 (일),31.8,38,25.3,-,-,1.5,50,3.5,12.2,구름조금
203,2018년 07월23일 (월),31.7,35.7,29.2,-,-,1.8,54,7.9,8,구름많음
204,2018년 07월24일 (화),31.4,36.8,27.2,-,-,1.6,60,4.4,10.2,구름조금
205,2018년 07월25일 (수),30.1,34.1,27.7,-,-,2.4,66,6.2,5.2,구름많음
206,2018년 07월26일 (목),30.1,33.7,27.3,-,-,1.4,69,5.8,4.4,구름많음/안개
207,2018년 07월27일 (금),30.9,35.4,27.2,-,-,1.8,69,2.2,9.3,구름조금/안개
208,2018년 07월28일 (토),29.5,35.2,28,7.5,-,1.2,77,5.5,3.4,구름많음/비/안개/천둥번개
209,2018년 07월29일 (일),31.3,36.7,26.4,-,-,1.3,52,2.4,12.3,구름조금
210,2018년 07월30일 (월),31.7,36.9,26.2,-,-,1.2,51,3.1,11,구름조금
211,2018년 07월31일 (화),32.6,38.3,27.8,-,-,1.4,51,2.8,12,구름조금
212,2018년 08월01일 (수),33.6,39.6,27.8,-,-,1.7,56,0.8,12.6,맑음
213,2018년 08월02일 (목),33.7,37.9,30.3,-,-,1.5,54,4,9.8,구름조금
214,2018년 08월03일 (금),33.1,37.9,30,-,-,1.8,55,1,10.5,맑음/안개
215,2018년 08월04일 (토),31,34.9,28,-,-,2.4,61,3.4,12.1,구름조금
216,2018년 08월05일 (일),30,33.9,27.2,2,-,2.7,72,6.5,10.1,구름많음/비
217,2018년 08월06일 (월),30.5,35.3,28.3,6.5,-,1.5,72,7.6,7.3,구름많음/비/소나기/안개
218,2018년 08월07일 (화),30.5,35.9,26.8,-,-,1.5,63,3.6,8.5,구름조금/비/천둥번개
219,2018년 08월08일 (수),31,35.3,27.6,-,-,1.9,65,3,10.8,구름조금/안개
220,2018년 08월09일 (목),28.8,32.5,27.1,2,-,1.6,76,7.2,2.6,구름많음/비/소나기
221,2018년 08월10일 (금),30.7,36.8,25.7,-,-,1.4,61,3.5,11.4,구름조금/안개
222,2018년 08월11일 (토),31,36,26.4,-,-,1.6,56,2.9,11.5,구름조금
223,2018년 08월12일 (일),30.6,35.3,27.2,5,-,1.5,61,6.5,8.4,구름많음/소나기
224,2018년 08월13일 (월),30.5,34.4,26.7,1,-,1.4,69,7.2,6.3,구름많음/소나기/안개
225,2018년 08월14일 (화),31.7,37.2,27.7,-,-,1.4,58,6.9,9.5,구름많음
226,2018년 08월15일 (수),31.7,38,28.3,1,-,1.1,60,6.4,9.5,구름많음/천둥번개/비
227,2018년 08월16일 (목),29.9,35.6,24.1,-,-,1.7,51,3.2,11,구름조금
228,2018년 08월17일 (금),27.2,33.8,21.7,-,-,1.8,40,0,12.4,맑음
229,2018년 08월18일 (토),26.7,32.1,21.5,-,-,1.5,45,5,10.9,구름많음
230,2018년 08월19일 (일),28.2,34.4,23,-,-,1.2,51,7.9,7.9,구름많음
231,2018년 08월20일 (월),29.1,33.3,25.1,0,-,2.1,56,8.4,6,흐림/비
232,2018년 08월21일 (화),26.6,31,23.4,5,-,2.6,71,6.2,6.8,구름많음/비
233,2018년 08월22일 (수),30.7,37.6,23.4,-,-,1.2,54,4.5,10.5,구름조금
234,2018년 08월23일 (목),29.4,32.2,25.7,3,-,1.7,59,9.5,1.7,흐림/비
235,2018년 08월24일 (금),24.4,26.3,23.2,7.5,-,2.4,86,9.6,0,흐림/비
236,2018년 08월25일 (토),25.2,29.3,22.7,-,-,2.5,68,7,7.2,구름많음
237,2018년 08월26일 (일),23.2,29,20.3,2,-,1.3,70,6.4,5.1,구름많음/비
238,2018년 08월27일 (월),22.7,24.9,20.2,19.5,-,0.8,91,8.9,0,흐림/비/이슬비
239,2018년 08월28일 (화),23.7,26.1,22.5,96.5,-,1,92,9,0,흐림/비/천둥번개
240,2018년 08월29일 (수),25.2,27.4,22.7,42,-,2.5,86,10,0.1,흐림/비/천둥번개
241,2018년 08월30일 (목),25.3,28.2,23.9,9.5,-,1.8,81,9.4,1.9,흐림/비/안개/천둥번개
242,2018년 08월31일 (금),25.6,30.3,22.8,0.1,-,1.6,67,4.5,10.1,구름조금/비
243,2018년 09월01일 (토),25.5,30.9,20.8,-,-,1.3,59,1.5,10.6,맑음
244,2018년 09월02일 (일),25.1,29.6,20.1,-,-,1.5,56,5.5,9.2,구름많음
245,2018년 09월03일 (월),23.3,25.8,21.4,34.5,-,1,85,9.8,0,흐림/비/안개
246,2018년 09월04일 (화),23.2,27.8,20,-,-,2.2,69,5.1,11,구름많음/안개
247,2018년 09월05일 (수),24,28.5,19.6,-,-,2.5,64,1.9,11.8,맑음
248,2018년 09월06일 (목),24.1,28.2,20.9,1,-,2,70,7.9,2.2,구름많음/비/안개
249,2018년 09월07일 (금),22,25.5,19.1,0.5,-,2.5,55,4.9,10.9,구름조금/비
250,2018년 09월08일 (토),21.7,27.7,15.9,-,-,1.6,49,0.2,11.7,맑음
251,2018년 09월09일 (일),22.2,28.9,15.6,-,-,1.2,49,1.4,9.9,맑음
252,2018년 09월10일 (월),22.9,28.4,18.6,-,-,1.6,50,2.4,10.3,구름조금
253,2018년 09월11일 (화),21.6,26.1,16.8,-,-,1.5,48,7.5,8.4,구름많음
254,2018년 09월12일 (수),22.8,28.2,16.8,-,-,1.3,52,4.1,11.3,구름조금
255,2018년 09월13일 (목),23.5,28.3,20.3,-,-,1.2,64,7.9,5,구름많음
256,2018년 09월14일 (금),23.5,26.8,20.3,0.5,-,1.3,67,8.2,1.6,흐림/비
257,2018년 09월15일 (토),23.3,26,21,0.2,-,1,76,9.8,0.8,흐림/비/안개
258,2018년 09월16일 (일),22.2,23.9,21,2,-,1.8,84,10,0,흐림/비/안개
259,2018년 09월17일 (월),22.3,27.7,18.5,0.1,-,2,64,5.2,10.8,구름많음/비/안개
260,2018년 09월18일 (화),22,26.5,17.7,-,-,1.3,60,8.2,7.9,흐림
261,2018년 09월19일 (수),22.1,26.6,18.9,0.2,-,0.9,59,9.5,2.1,흐림/비
262,2018년 09월20일 (목),19,20.1,17.8,5,-,1.8,82,10,0,흐림/비/안개/이슬비
263,2018년 09월21일 (금),19.4,21.9,17.6,18,-,1.3,86,9.2,0.6,흐림/비
264,2018년 09월22일 (토),20.8,25.5,17.2,6.5,-,1.7,62,2.1,10.8,구름조금/비/안개
265,2018년 09월23일 (일),19.4,25.3,15.6,0,-,1.6,53,4.4,7.4,구름조금/비
266,2018년 09월24일 (월),17.6,22.1,14.2,-,-,2.2,48,1.1,11,맑음
267,2018년 09월25일 (화),17.8,24.3,10.8,-,-,1.1,48,2.1,10,구름조금
268,2018년 09월26일 (수),19.4,24.8,16.2,-,-,1.7,48,5,8.4,구름많음
269,2018년 09월27일 (목),18.9,25,13.2,-,-,1.2,48,0.9,10.3,맑음
270,2018년 09월28일 (금),17.5,22.2,14.3,-,-,1.3,58,6.1,3.5,구름많음
