,날짜,평균  기온,최고  기온,최저  기온,강수량(mm),신적설(cm),평균  풍속(m/s),평균  습도  (%),운량(1/10),일조  시간  (Hr),날씨
75,2017년 03월17일 (금),7.7,15.7,1.2,-,-,2.0,43,1.9,10.9,맑음/안개
76,2017년 03월18일 (토),9.5,16.1,5.9,-,-,2.2,34,3.5,9.2,구름조금/안개
77,2017년 03월19일 (일),10.9,18.9,3.2,-,-,1.6,36,0.2,10.9,맑음/안개
78,2017년 03월20일 (월),10.2,15.5,6.0,-,-,1.9,40,8.2,0.0,흐림/안개
79,2017년 03월21일 (화),7.4,12.6,4.3,-,-,3.2,48,2.0,9.2,구름조금/안개
80,2017년 03월22일 (수),7.6,14.1,1.9,-,-,2.4,33,4.8,10.3,구름조금
81,2017년 03월23일 (목),9.1,15.0,5.1,-,-,2.3,34,4.6,8.6,구름조금/안개
82,2017년 03월24일 (금),8.7,15.2,3.9,-,-,2.1,41,6.8,7.9,구름많음/안개
83,2017년 03월25일 (토),8.1,12.6,5.0,-,-,2.2,41,6.0,5.9,구름많음/안개
84,2017년 03월26일 (일),7.3,11.6,4.8,-,-,2.2,53,7.1,5.4,구름많음/안개
85,2017년 03월27일 (월),6.1,10.9,4.4,0.4,-,2.6,67,6.0,3.5,구름많음/비/안개
86,2017년 03월28일 (화),7.1,12.7,2.5,-,-,1.9,60,6.4,6.9,구름많음/안개
87,2017년 03월29일 (수),8.8,14.4,4.7,-,-,2.3,55,4.2,10.8,구름조금/안개
88,2017년 03월30일 (목),10.6,17.1,4.1,-,-,1.8,50,4.9,9.1,구름조금/안개
89,2017년 03월31일 (금),8.6,12.4,4.9,1.5,-,2.4,71,8.2,0.2,흐림/비/안개
90,2017년 04월01일 (토),9.0,15.1,4.8,1.0,-,2.1,61,4.8,10.3,구름조금/비
91,2017년 04월02일 (일),9.0,15.8,3.1,-,-,2.1,53,0.9,11.6,맑음/안개
92,2017년 04월03일 (월),11.4,19.2,4.3,-,-,2.0,46,0.0,11.7,맑음/안개
93,2017년 04월04일 (화),14.1,21.8,6.7,-,-,2.0,35,4.0,10.9,구름조금/안개
94,2017년 04월05일 (수),12.0,14.2,10.8,37.5,-,2.5,66,9.9,0.0,흐림/비/안개
95,2017년 04월06일 (목),10.4,12.4,9.4,3.0,-,2.5,90,9.6,0.3,흐림/비/안개/이슬비
96,2017년 04월07일 (금),14.5,23.5,9.0,-,-,2.0,68,6.8,9.0,구름많음/안개
97,2017년 04월08일 (토),13.0,19.9,8.6,0.5,-,2.6,75,8.2,6.9,흐림/비/안개
98,2017년 04월09일 (일),14.8,20.5,10.6,0.5,-,2.8,60,8.0,6.7,흐림/비
99,2017년 04월10일 (월),16.5,23.3,10.1,-,-,2.7,26,5.5,11.7,구름많음
100,2017년 04월11일 (화),15.3,20.2,11.5,-,-,3.3,37,5.2,9.0,구름많음
101,2017년 04월12일 (수),11.5,16.4,8.8,-,-,3.7,22,1.9,11.2,맑음
102,2017년 04월13일 (목),12.7,19.6,6.3,0.0,-,2.5,54,3.0,9.4,구름조금/비/안개
103,2017년 04월14일 (금),13.0,17.7,10.1,6.0,-,3.5,58,6.9,4.6,구름많음/비/안개
104,2017년 04월15일 (토),16.8,24.3,10.9,-,-,2.1,59,3.2,9.8,구름조금/안개
105,2017년 04월16일 (일),18.7,24.4,12.9,-,-,1.3,53,8.1,6.5,흐림/안개
106,2017년 04월17일 (월),14.7,18.0,11.2,5.5,-,2.2,67,8.2,0.7,흐림/비
107,2017년 04월18일 (화),11.7,17.4,9.4,7.5,-,2.5,77,5.2,2.7,구름많음/비/안개
108,2017년 04월19일 (수),12.6,18.4,7.0,-,-,2.7,43,2.0,12.3,구름조금/황사
109,2017년 04월20일 (목),12.9,18.2,9.9,0.1,-,2.4,45,7.4,2.6,구름많음/비
110,2017년 04월21일 (금),13.1,19.3,7.6,-,-,1.9,57,3.1,8.5,구름조금/안개
111,2017년 04월22일 (토),14.8,22.5,8.5,-,-,2.0,48,0.5,12.4,맑음/안개
112,2017년 04월23일 (일),14.9,21.7,8.9,-,-,2.6,40,0.1,12.6,맑음/안개
113,2017년 04월24일 (월),15.1,21.3,8.3,-,-,2.5,39,4.8,12.1,구름조금
114,2017년 04월25일 (화),16.0,20.4,12.9,-,-,2.8,57,7.9,4.7,구름많음
115,2017년 04월26일 (수),15.1,20.2,10.5,-,-,3.2,36,2.0,12.6,구름조금/안개
116,2017년 04월27일 (목),13.6,19.8,7.9,-,-,3.3,42,0.4,12.8,맑음
117,2017년 04월28일 (금),14.4,21.5,8.9,-,-,2.9,57,3.2,12.2,구름조금/안개
118,2017년 04월29일 (토),17.1,23.7,9.6,-,-,2.8,44,0.0,12.5,맑음/안개
119,2017년 04월30일 (일),19.3,27.8,13.7,-,-,2.6,58,0.0,11.4,맑음/안개
120,2017년 05월01일 (월),20.1,28.3,12.8,-,-,1.9,51,0.0,11.9,맑음/안개
121,2017년 05월02일 (화),20.7,28.0,15.2,-,-,2.2,42,3.1,8.7,구름조금
122,2017년 05월03일 (수),21.5,30.2,14.5,-,-,2.1,34,0.0,12.6,맑음/안개
123,2017년 05월04일 (목),21.0,27.5,14.8,-,-,2.1,44,7.4,8.0,구름많음
124,2017년 05월05일 (금),20.9,27.0,15.5,-,-,3.3,53,5.1,11.6,구름많음/황사
125,2017년 05월06일 (토),14.9,19.3,10.0,-,-,3.7,32,0.9,12.4,맑음/황사
126,2017년 05월07일 (일),16.6,22.8,10.9,-,-,3.2,43,0.5,12.6,맑음/황사
127,2017년 05월08일 (월),17.9,23.5,11.1,-,-,2.1,44,7.2,6.1,구름많음/황사
128,2017년 05월09일 (화),17.1,22.6,15.3,2.5,-,1.5,63,9.4,1.3,흐림/비/황사
129,2017년 05월10일 (수),16.4,20.8,14.2,2.5,-,2.3,73,6.9,7.0,구름많음/비/안개
130,2017년 05월11일 (목),19.3,24.8,13.1,0.0,-,1.8,65,7.6,5.3,구름많음/비/안개
131,2017년 05월12일 (금),19.1,21.1,16.8,-,-,2.1,72,8.0,0.0,흐림/안개
132,2017년 05월13일 (토),16.4,22.6,12.4,6.0,-,3.2,78,6.8,2.2,구름많음/비/안개/천둥번개
133,2017년 05월14일 (일),15.7,20.7,11.0,-,-,3.8,58,0.6,13.1,맑음/안개
134,2017년 05월15일 (월),16.0,20.1,12.3,0.0,-,2.7,61,5.5,8.1,구름많음/비
135,2017년 05월16일 (화),17.1,22.3,13.3,-,-,1.9,61,6.4,9.6,구름많음/안개
136,2017년 05월17일 (수),18.7,25.9,12.3,-,-,2.0,50,0.5,13.2,맑음/안개
137,2017년 05월18일 (목),20.4,26.9,13.9,-,-,2.3,42,1.5,12.9,맑음
138,2017년 05월19일 (금),21.1,27.9,15.1,-,-,2.6,43,0.0,13.3,맑음/안개
139,2017년 05월20일 (토),20.9,27.3,15.4,-,-,2.4,44,5.1,13.0,구름많음/안개
140,2017년 05월21일 (일),21.5,27.6,16.0,-,-,2.2,48,2.8,11.9,구름조금
141,2017년 05월22일 (월),21.8,28.0,15.9,-,-,2.1,54,2.8,11.8,구름조금/안개
142,2017년 05월23일 (화),20.0,24.4,17.2,5.0,-,1.9,68,9.1,2.4,흐림/비
143,2017년 05월24일 (수),21.8,27.8,16.9,0.1,-,2.1,60,2.9,12.7,구름조금/비/안개
144,2017년 05월25일 (목),19.2,24.4,14.4,-,-,3.3,46,0.9,12.8,맑음/안개
145,2017년 05월26일 (금),17.7,23.2,12.4,-,-,2.9,42,1.9,11.3,맑음
146,2017년 05월27일 (토),19.5,26.4,13.7,-,-,2.2,46,0.1,13.5,맑음
147,2017년 05월28일 (일),21.2,27.9,14.4,-,-,2.7,51,1.0,11.2,맑음/안개
148,2017년 05월29일 (월),22.9,29.3,18.1,-,-,2.3,62,4.6,9.7,구름조금/안개
149,2017년 05월30일 (화),23.6,30.3,18.6,-,-,2.4,44,6.0,11.1,구름많음/안개
150,2017년 05월31일 (수),23.3,29.6,17.7,-,-,1.9,49,5.4,10.2,구름많음
151,2017년 06월01일 (목),23.3,27.0,20.0,-,-,3.2,52,4.2,10.6,구름조금/안개/천둥번개
152,2017년 06월02일 (금),20.5,25.6,15.5,0.0,-,3.0,37,3.1,12.2,구름조금/비
153,2017년 06월03일 (토),20.5,26.5,16.1,-,-,3.1,44,1.9,13.5,맑음
154,2017년 06월04일 (일),21.7,28.1,15.1,-,-,2.7,37,1.8,13.6,맑음
155,2017년 06월05일 (월),24.2,30.3,16.4,0.0,-,1.9,33,4.9,12.9,구름조금/비
156,2017년 06월06일 (화),19.4,23.9,14.5,15.5,-,2.4,60,9.8,0.0,흐림/비
157,2017년 06월07일 (수),17.6,19.2,15.1,12.5,-,2.3,91,8.8,0.2,흐림/비/이슬비
158,2017년 06월08일 (목),20.1,25.9,15.1,-,-,2.9,67,3.9,11.8,구름조금/안개
159,2017년 06월09일 (금),21.1,25.7,17.9,0.1,-,3.4,70,6.9,7.4,구름많음/비/안개
160,2017년 06월10일 (토),21.5,27.5,16.7,4.5,-,2.3,47,6.9,9.8,구름많음/비/안개/천둥번개
161,2017년 06월11일 (일),22.8,29.6,14.8,-,-,2.3,34,1.0,13.7,맑음
162,2017년 06월12일 (월),22.1,28.0,17.0,-,-,2.9,46,4.9,12.2,구름조금
163,2017년 06월13일 (화),21.5,25.9,18.3,0.0,-,2.5,63,7.0,10.3,구름많음/비/안개
164,2017년 06월14일 (수),21.8,26.8,17.8,-,-,2.8,63,1.6,11.9,맑음/안개
165,2017년 06월15일 (목),23.1,29.6,18.0,-,-,2.4,62,1.5,11.4,맑음/안개
166,2017년 06월16일 (금),25.5,32.7,20.0,-,-,2.1,56,1.2,11.9,맑음/안개
167,2017년 06월17일 (토),24.2,29.9,20.6,-,-,2.4,52,0.0,12.7,맑음/안개
168,2017년 06월18일 (일),24.3,31.8,18.6,-,-,2.3,52,0.8,13.2,맑음/안개
169,2017년 06월19일 (월),24.8,30.2,19.5,-,-,1.8,51,5.6,11.0,구름많음/안개
170,2017년 06월20일 (화),26.0,32.7,20.0,0.0,-,2.0,43,6.6,7.9,구름많음/비
171,2017년 06월21일 (수),25.4,31.6,21.7,0.0,-,2.8,53,3.0,11.1,구름조금/비/안개
172,2017년 06월22일 (목),25.3,30.4,21.2,-,-,2.4,57,3.9,10.8,구름조금/안개
173,2017년 06월23일 (금),26.7,34.1,21.3,-,-,2.0,53,4.1,12.9,구름조금/안개
174,2017년 06월24일 (토),24.5,27.8,21.5,3.5,-,1.3,60,9.5,0.8,흐림/비/안개
175,2017년 06월25일 (일),23.8,28.4,21.0,1.5,-,1.7,75,7.1,4.6,구름많음/비/안개/천둥번개
176,2017년 06월26일 (월),23.1,29.9,20.1,29.0,-,2.2,77,8.8,4.9,흐림/비/천둥번개
177,2017년 06월27일 (화),25.2,30.5,20.8,0.0,-,2.1,68,6.4,7.8,구름많음/비/안개
178,2017년 06월28일 (수),26.0,30.5,22.5,-,-,2.3,64,6.1,6.9,구름많음/안개
179,2017년 06월29일 (목),26.2,31.5,21.9,-,-,2.2,65,3.8,9.5,구름조금/안개
180,2017년 06월30일 (금),25.9,30.9,22.2,-,-,2.3,66,4.9,7.7,구름조금/안개
181,2017년 07월01일 (토),25.3,30.7,22.4,0.5,-,2.0,74,9.4,3.4,흐림/비/안개
182,2017년 07월02일 (일),24.3,26.8,21.9,92.0,-,2.6,91,10.0,0.0,흐림/비/천둥번개
183,2017년 07월03일 (월),24.7,27.4,21.9,67.5,-,3.5,88,9.9,2.0,흐림/비
184,2017년 07월04일 (화),26.7,31.6,23.8,0.5,-,2.1,75,6.5,9.4,구름많음/비/안개
185,2017년 07월05일 (수),27.4,32.6,23.3,-,-,1.7,67,4.8,7.8,구름조금/안개
186,2017년 07월06일 (목),27.6,34.6,23.9,34.0,-,1.7,72,7.1,8.3,구름많음/비/소나기/안개/천둥번개
187,2017년 07월07일 (금),26.4,28.4,24.4,16.5,-,1.9,81,9.5,1.0,흐림/비/안개
188,2017년 07월08일 (토),26.0,27.6,24.6,4.5,-,2.7,83,9.9,0.1,흐림/비/안개
189,2017년 07월09일 (일),26.3,30.3,23.8,32.5,-,1.2,88,9.6,1.6,흐림/비/소나기/안개/천둥번개
190,2017년 07월10일 (월),24.0,25.4,22.6,144.5,-,2.4,97,10.0,0.0,흐림/비/천둥번개
191,2017년 07월11일 (화),26.0,30.9,22.2,1.0,-,2.1,81,8.8,5.6,흐림/비/안개
192,2017년 07월12일 (수),27.1,31.1,24.9,0.0,-,2.1,76,6.1,7.7,구름많음/안개/이슬비
193,2017년 07월13일 (목),27.6,32.1,23.1,-,-,1.4,71,2.6,9.2,구름조금/안개
194,2017년 07월14일 (금),28.7,33.0,26.1,0.0,-,2.2,68,7.0,6.6,구름많음/비/안개/천둥번개
195,2017년 07월15일 (토),25.0,27.3,23.4,42.5,-,2.3,89,10.0,0.5,흐림/비/안개
196,2017년 07월16일 (일),26.2,28.8,23.4,22.5,-,1.5,83,9.4,0.9,흐림/비/천둥번개
197,2017년 07월17일 (월),26.8,29.0,24.0,7.5,-,2.1,77,9.1,0.3,흐림/비/소나기
198,2017년 07월18일 (화),26.5,30.7,23.9,2.5,-,1.6,81,7.4,4.3,구름많음/비/안개/이슬비
199,2017년 07월19일 (수),28.3,34.1,24.5,-,-,1.7,71,5.9,7.0,구름많음/안개
200,2017년 07월20일 (목),29.9,34.9,26.0,-,-,2.2,66,2.4,10.3,구름조금/안개
201,2017년 07월21일 (금),29.8,32.4,27.3,-,-,2.4,73,8.6,2.1,흐림/안개
202,2017년 07월22일 (토),29.3,32.5,27.5,0.5,-,2.3,76,9.5,2.3,흐림/비/안개
203,2017년 07월23일 (일),27.0,28.1,26.1,133.5,-,2.1,90,9.8,0.0,흐림/비/안개/이슬비/천둥번개
204,2017년 07월24일 (월),26.2,27.3,25.6,3.0,-,1.3,82,9.4,0.0,흐림/비/안개/천둥번개
205,2017년 07월25일 (화),29.4,35.4,24.6,-,-,1.9,64,4.2,10.7,구름조금/안개
206,2017년 07월26일 (수),28.7,32.8,24.2,-,-,2.7,56,3.5,11.4,구름조금
207,2017년 07월27일 (목),27.1,29.7,24.9,3.5,-,1.9,63,9.4,1.2,흐림/비
208,2017년 07월28일 (금),25.5,26.9,24.8,8.5,-,1.6,92,9.6,0.0,흐림/비/안개/이슬비
209,2017년 07월29일 (토),27.2,30.1,25.0,0.0,-,2.3,72,7.5,2.5,구름많음/비
210,2017년 07월30일 (일),27.9,32.6,24.7,-,-,1.8,64,7.9,6.9,구름많음/안개
211,2017년 07월31일 (월),25.7,27.1,24.8,3.5,-,1.4,82,9.6,0.0,흐림/비
212,2017년 08월01일 (화),28.6,33.0,24.1,2.0,-,1.6,73,7.0,8.8,구름많음/비/안개
213,2017년 08월02일 (수),30.0,33.0,26.6,-,-,1.3,72,5.1,3.9,구름많음/안개/천둥번개
214,2017년 08월03일 (목),30.2,33.9,27.2,-,-,2.4,61,5.6,10.4,구름많음
215,2017년 08월04일 (금),30.3,35.3,25.9,-,-,1.9,60,6.2,11.8,구름많음
216,2017년 08월05일 (토),31.4,34.8,27.6,0.0,-,1.8,63,4.1,9.4,구름조금/소나기
217,2017년 08월06일 (일),29.8,34.0,28.2,5.0,-,1.8,72,6.9,3.7,구름많음/비/안개/천둥번개
218,2017년 08월07일 (월),29.2,34.4,26.4,-,-,2.4,68,3.2,10.7,구름조금/안개
219,2017년 08월08일 (화),28.2,31.0,25.5,-,-,1.9,67,8.0,5.6,흐림/안개
220,2017년 08월09일 (수),27.6,32.0,24.6,2.5,-,2.4,66,9.1,4.0,흐림/비/안개
221,2017년 08월10일 (목),24.8,26.3,23.9,5.5,-,2.0,90,9.9,0.0,흐림/비/천둥번개
222,2017년 08월11일 (금),27.0,32.4,23.9,0.5,-,2.5,73,5.9,7.3,구름많음/비/소나기
223,2017년 08월12일 (토),27.8,32.6,23.2,-,-,2.1,60,5.6,9.6,구름많음
224,2017년 08월13일 (일),26.3,28.4,24.2,0.0,-,2.8,62,8.9,1.4,흐림/비
225,2017년 08월14일 (월),24.6,27.1,23.1,1.5,-,3.8,68,9.6,0.0,흐림/비
226,2017년 08월15일 (화),21.9,24.0,20.8,93.5,-,3.6,94,10.0,0.0,흐림/비/천둥번개
227,2017년 08월16일 (수),23.3,26.8,20.5,2.0,-,3.6,81,9.6,1.6,흐림/비
228,2017년 08월17일 (목),24.8,27.7,21.2,0.5,-,2.0,77,8.1,1.8,흐림/비/안개
229,2017년 08월18일 (금),26.3,30.6,23.9,0.0,-,1.3,76,8.2,5.0,흐림/비/안개/천둥번개
230,2017년 08월19일 (토),26.1,28.7,23.1,0.0,-,2.1,76,8.1,1.2,흐림/비/안개
231,2017년 08월20일 (일),23.2,25.8,22.0,124.5,-,2.8,96,10.0,0.0,흐림/비
232,2017년 08월21일 (월),25.8,29.2,23.7,5.0,-,2.5,82,7.6,5.2,구름많음/비
233,2017년 08월22일 (화),27.3,31.5,23.4,-,-,1.9,71,4.4,9.5,구름조금
234,2017년 08월23일 (수),27.2,30.2,24.6,31.5,-,2.8,84,9.4,2.4,흐림/비
235,2017년 08월24일 (목),26.5,28.1,23.9,14.0,-,3.8,85,7.9,0.8,구름많음/비/안개/천둥번개
236,2017년 08월25일 (금),25.3,30.6,22.2,-,-,1.8,62,6.0,8.5,구름많음/안개
237,2017년 08월26일 (토),24.2,29.2,19.0,-,-,2.0,55,1.9,12.5,맑음
238,2017년 08월27일 (일),22.7,26.7,19.0,0.0,-,1.5,62,8.2,3.3,흐림/비
239,2017년 08월28일 (월),21.5,26.5,18.3,9.0,-,1.6,73,9.1,1.3,흐림/비/안개
240,2017년 08월29일 (화),19.5,24.0,17.0,-,-,3.4,51,6.5,11.3,구름많음
241,2017년 08월30일 (수),19.8,23.9,16.1,-,-,1.5,56,7.1,3.4,구름많음
242,2017년 08월31일 (목),22.2,27.6,16.6,-,-,1.6,62,0.9,11.8,맑음
243,2017년 09월01일 (금),23.3,29.7,17.1,-,-,2.1,56,0.4,12.4,맑음
244,2017년 09월02일 (토),23.8,29.6,18.6,-,-,1.9,59,2.9,10.7,구름조금
245,2017년 09월03일 (일),23.7,29.2,19.0,-,-,1.6,64,3.0,8.5,구름조금
246,2017년 09월04일 (월),24.6,30.1,19.7,-,-,1.7,54,6.1,8.8,구름많음/안개
247,2017년 09월05일 (화),21.9,23.7,20.4,0.0,-,1.8,62,8.8,0.0,흐림/비
248,2017년 09월06일 (수),20.6,24.0,18.5,2.0,-,1.3,76,9.6,0.0,흐림/비/안개
249,2017년 09월07일 (목),22.4,27.5,17.8,-,-,1.5,73,5.6,7.6,구름많음/안개
250,2017년 09월08일 (금),24.3,29.9,20.4,-,-,1.7,68,3.8,9.7,구름조금/안개
251,2017년 09월09일 (토),23.8,28.2,19.2,-,-,1.3,70,2.8,11.1,구름조금/안개
252,2017년 09월10일 (일),23.0,26.1,19.9,0.5,-,1.3,74,9.2,0.0,흐림/비/안개
253,2017년 09월11일 (월),21.2,24.6,18.6,24.0,-,1.8,80,7.6,1.9,구름많음/비
254,2017년 09월12일 (화),22.1,27.9,17.7,-,-,1.9,59,0.6,11.6,맑음/안개
255,2017년 09월13일 (수),21.4,27.5,15.9,-,-,1.7,49,0.0,11.9,맑음
256,2017년 09월14일 (목),22.4,29.5,14.8,-,-,1.7,49,1.5,11.5,맑음
257,2017년 09월15일 (금),22.6,27.9,17.8,-,-,3.5,48,3.9,11.3,구름조금
258,2017년 09월16일 (토),22.0,27.6,16.7,-,-,3.7,51,3.1,11.0,구름조금
259,2017년 09월17일 (일),23.1,29.2,19.0,-,-,2.7,51,3.5,10.0,구름조금
