날짜,년,월,일,시간,경보발령단계,경보발령제목,경보발령내용
2011-12-10,2011,12,10,1420,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 12. 10. 14:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 1℃로 2011-12-10 14:20부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2011-12-18,2011,12,18,900,발령해제,제설대책 보강근무 해제(평상시근무로 전환),             1. 2011. 12. 18(일) 08:00  기상청 일기예보에 의하면  서울지방 강수확률은 0%로 예보되어 2011-12-18(일) 09:00부로 제설대책 보강근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-01-19,2012,1,19,1005,보강,[테스트] 기상예보에 따른 제설대책 보강근무 지시,             1. 2012. 01. 19. 10:00  기상청 일기예보에 따라 2012-01-19 10:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바랍니다.  끝.
2012-01-31,2012,1,31,905,1단계,제설대책 1단계 발령 및 2단계 예고 알림," 1. 금일 08:00 기상청 발표에 의하면 예상적설량 5~9㎝, 강수확률 60~80, 기온 -8~0℃로 예보되어 앞으로 서울지역에 많은 눈이 내릴 것으로 예상되므로 금일 09:00부로 제설대책 1단계근무로 상향 지시하니,



 2. 각 제설기관에서는 가용중인 모든 제설차량에 제설삽날 장착 및 제설제를 상차하여 주요간선도로, 램프, 언덕길 등 취약지점에 현장출동 하여 사전살포 등 제설작업에 만전을 기하여 주시기 바랍니다.  끝. 



 3. 아울러 금일 제설근무 상황을 제설정보시스템에 2012.1.31.10:00 까지 입력하여 주시기 바랍니다."
2012-01-31,2012,1,31,1615,2단계,제설대책 2단계 근무로 상향지시," 1. 12.1.31(화) 16:00 현재 서해안에서 유입되는 눈구름의 영향으로 서울 전역에 눈이 내리고 있으며, 기상청 예보에 의하면 16:00시 이후 대설주의보 발령예정으로 있어  

2012.1.31(화) 16:00시부로 제설대책 2단계 근무로 상향 지시하니 



 2. 각 제설기관에서는 가용중인 모든 제설차량에 제설제 상차 및 제설삽날을 장착하여 주요간선도로, 한강교량, 램프, 고가도로, 고갯길 등 취약지점에 제설작업을 실시하여 주시기 바라며,



 3. 특히 퇴근시간대에 집중적으로 눈이 내릴 것으로 예상되며, 기온이 낮아 내린 눈이 얼어 붙어 빙판길이 예상되니 대중교통 노선부터 우선 제설이 이루어 질 수 있도록 조치하시기 바랍니다.

  

      ※ 기관별 근무 현황을 제설현장관리시스템에 17:00까지 입력하여 주시기 바랍니다. 끝.





  "
2012-01-31,2012,1,31,2310,1단계,제설대책 1단계 근무 및 이면도로 제설작업 철저," 1. 금일(1월 31일) 23:00 기상청 예보에 의하면 24:00이후 서울지역은 대체로 맑겠으며 강수확률 20, 기온 -12℃로 예보되어 12.1.31(화) 23:00시부로 제설대책 1단계 근무로 하향 조정 지시하니 각 제설기관(부서)에서는 제설근무에 만전을 기하시기 바랍니다.



 2. 특히 각 자치구에서는 이면도로 및 보도에 대하여 제설이 안된 곳이 있다는 민원이 있으니 자치구청장 책임하에 제설작업을 철저히 시행하여 시민통행에 불편이 없도록 조치하시기 바라며,



 3. 아울러 각 제설기관에서는 순찰을 강화하여 노면 결빙 지역에 제설제를 살포하여 결빙을 최대한 방지할 수 있도록 조치하시기 바랍니다.  끝."
2011-01-14,2011,1,14,1000,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 01. 14. 9:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만으로 2011-01-14 10:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2011-02-17,2011,2,17,1100,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 02. 17. 11:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 0℃ 이상으로 상승하여 2011-02-17 11:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2011-02-27,2011,2,27,2100,보강,기상예보에 따른 제설대책 보강근무 지시,"            1. 2011.02.27(일) 20:00 기상청 발표에 의하면 ‘11.02.27(일) 24:00시부터 강수확률 60%이상 강수(적설)량 1~4mm(1cm 미만) 예보되고 있어, 2011.02.27(일) 21:00부로 제설대책 보강 근무를 지시하니 각 제설기관 및 부서에서는 상황근무 등 제설대책 근무에 철저를 기하여 주시기 바랍니다.

  

         ※ 제설현장관리시스템에 22:00까지 근무현황 입력바람.  끝.

 

"
2011-03-25,2011,3,25,0,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 03. 24. 23:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 2℃ 이상으로 상승하여 2011-03-25 00:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2011-12-09,2011,12,9,400,보강,제설대책 보강근무 지시," 1. 2011.12.09(금) 03:00현재 기온 -4℃이며 문산 및 서울 일부 지역에 산발적인 눈이 날리고 있어 2011.12.09(금) 04:00부로 제설대책 보강근무를 지시하니 각 제설기관에서는 단계근무요령에 따라 제설대책에 임하여 주시기 바랍니다. 



 ※ 아울러 기관별 근무현황을 “제설현장관리시스템”에 입력 하여 주시기 바랍니다.  끝.  

"
2011-12-16,2011,12,16,1640,발령해제,[테스트]제설작업 근무 해제(평상시근무로 전환),             1. 2011. 12. 16. 16:00  기상청 일기예보에 의하면  서울지방 강수확률은 20 미만이며 기온이 2℃ 이상으로 상승하여 2011-12-16 16:40부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2011-12-02,2011,12,2,1355,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 12. 02. 13:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 2℃ 이상으로 상승하여 2011-12-02 13:55부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2011-12-06,2011,12,6,700,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 12. 06. 06:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 2℃ 이상으로 상승하여 2011-12-06 07:00부로 근무를 해제하니 각 제설기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-01-01,2012,1,1,1425,발령해제,제설대책 보강근무 해제," 1. 금일 14:00 기상청 일기예보에 의하면 15:00 이후 서울지방 강수확률 20%, 기온 -5.0℃로 예보되어 2012.01.01(일) 15:00시부로 제설대책 보강근무를 해제하니

     각 제설기관(부서)에서는 평시 상황근무 유지에 철저를 기하시기 바랍니다.



          ※ 제설대책 비상근무에 수고하셨습니다. 새해 복 많이 받으십시오.  끝."
2012-01-12,2012,1,12,2120,발령해제,제설대책 보강근무 해제," 1. 금일(1월 12일) 20:00 기상청 일기예보에 의하면 금일 21:00 이후 서울지방 강수확률 20, 기온 -1.1℃로 예보되어 2012.01.12(목) 21:00시부로 제설대책 보강근무를 해제하니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며,



 2. 특히, 내일 아침으로 갈수록 기온이 계속적으로 낮아지고 있으며, 강설확률이 20로 예보되고 있으니 제설상황근무에 철저를 기하여 주시기 바랍니다.  끝."
2012-01-24,2012,1,24,1455,보강,제설대책 보강근무 지시 및 1단계 비상근무 발령 예고 (2012.01.24),"  1. 2012.1.24(화) 14:00현재 기상청 예보에 의하면 금일 18:00시 이후 강수확률 60~70, 기온 -5℃, 예상적설량 1~4cm로 예보되어 2012.1.24(화) 15:00부로 제설대책 보강 근무를 지시하니 각 제설기관 및 부서에서는 초동제설에 임할 수 있도록 조치하여 주시기 바라며 (18:00이후 기상상황에 따라 1단계 발령 예정임)



  2. 강설시는 한강교량, 램프, 고가도로, 고갯길 등 취약지역 및 대중교통 소통 노선, 설 연휴 귀경 노선부터 우선 제설이 이루어 질 수 있도록 제설 대책에 만전을 기하여 주시기 바랍니다. 

            ※제설현장관리시스템 입력부서에서는 17:00까지 근무현황을 입력하여 주시기 바랍니다.  끝."
2012-01-25,2012,1,25,825,발령해제,제설대책 1단계 근무 해제 및 보강근무 발령예고,"  1. 금일(1월 25일) 08:00 기상청 일기예보에 의하면 09시 이후 서울지역 강수확률 0, 기온 -9℃로 예보되어 12.1.25(수) 09:00시부로 제설대책 1단계를 해제하니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며,



  2. 현재 기온이 영하(-9℃)이므로 어제(1월 24일) 내린 강설로 노면 결빙이 우려되는 이면도로, 보도, 육교, 지하철 및 지하상가 출입구 등에 특별순찰을 실시하여 잔설을 제거하여 시민통행에 불편이 없도록 조치하여 주시기 바랍니다.



  3. 아울러 12.1.25(수) 24시 이후 강수확률이 30, 기온 -6℃로 예보되어 기상상황에 따라 2012.1.25(수) 21:00부로 제설대책 보강근무 비상발령 예정임을 알려드리니 각 제설기관에서는 즉시 응소가 가능하도록 대비하여 주시기 바랍니다.  끝.         "
2012-01-26,2012,1,26,855,발령해제,제설대책 보강근무 해제 및 발령 예고(1.27. 00시)," 1. 금일(1월 26일) 08:00 기상청 일기예보에 의하면 09시 이후 서울지역 강수확률 20, 기온 -1℃로 예보되어 12.1.26(목) 09:00시부로 제설대책 보강단계를 해제하니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며,



 2. 아울러 12.1.27(금) 03시 이후 예상강설량 1㎝미만, 강수확률 30~60, 기온 -3℃로 예보되어 기상상황에 따라 2012.1.27(금) 00:00부로 제설대책 보강근무 비상발령 예정임을 알려드리니 각 제설기관에서는 즉시 응소가 가능하도록 대비하여 주시기 바랍니다.  끝."
2012-01-27,2012,1,27,955,발령해제,제설대책 보강근무 해제," 1. 금일 08:00 기상청 일기예보에 의하면 10:00 이후 서울지방 강수확률 20, 기온 2.0℃로 예보되어 2012.01.27(금) 10:00시부로 제설대책 보강근무를 해제하니 각 제설기관(부서)에서는 평시 상황근무 유지에 철저를 기하시기 바랍니다.  끝."
2012-02-01,2012,2,1,1700,보강,제설대책 보강근무 지시 및 제설작업 철저,"          1. 금일(2월 1일) 17:00 기상청 예보에 의하면 18:00이후 서울지역은 대체로 맑겠으나 기온이 -14℃로 예보되어 ‘12. 2. 1(수) 17:00시부로 제설대책 보강근무로 하향 조정 지시하니 각 제설기관(부서)에서는 제설근무에 만전을 기하시기 바랍니다.

          2. 특히 각 자치구에서는 횡단보도 주변, 버스정류장, 지하철및지하상가 출입구, 이면도로 등에 대하여는 자치구청장 책임하에 제설작업을 철저히 시행하여 퇴근시 시민통행에 불편이 없도록 조치하시기 바라며,

          3. 아울러 각 제설기관에서는 순찰을 강화하여 노면 결빙 지역에 제설제를 살포하여 결빙을 최대한 방지할 수 있도록 조치하시기 바랍니다.  끝.



"
2012-02-02,2012,2,2,1800,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2012. 02. 02. 18:00  기상청 일기예보에 의하면  서울지방 강수확률은 20 미만이며 기온이 2℃ 이상으로 상승하여 2012-02-02 18:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-02-03,2012,2,3,1500,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2012. 02. 03(금) 14:00  기상청 예보에 의하면 현재 기온 -4.8℃이며 금일 18:00이후 기온 -4℃, 강수확률 60％, 예상적설량 1cm미만으로 예보되고 있어 2012.02. 03(금) 15:00부로 제설대책 보강 근무를 발령하니 각 제설 기관에서는 초동 제설대책에 임할 수 있도록 조치하여 주시기 바라며, 



             2. 한강교량, 램프, 고가도로, 고갯길 등 취약지점 및 대중교통 노선부터 우선 제설이 이루어 질 수 있도록 사전살포 등 제설대책에 만전을 기하여 주시기 바랍니다



             3. 또한 금일 제설근무 상황을 제설현장관리시스템에 17:00까지 입력하시기 바랍니다.    끝."
2012-02-04,2012,2,4,750,발령해제,제설대책 보강근무 해제(12.2.4) 및  사전 발령 예고(12.2.6)," 1. 금일(2월 4일) 07:00 기상청 일기예보에 의하면 08시 이후 서울지역 강수확률 0~20, 기온 -1~5℃로 예보되어 12. 2. 4(토) 08:00시부로 제설대책 보강단계를 해제하니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며,



 2. 아울러 기상청 예보에 의하면 12.2.6(월) 06시 이후 예상 적설량 1㎝미만, 강수확률 30~60, 기온 -1℃로 예보되어 2012. 2. 6(월) 03:00부로 제설대책 보강근무 비상발령 예정임을 알려드리니 각 제설기관에서는 즉시 응소 가능하도록 대비하여 주시기   바랍니다.  끝."
2012-02-06,2012,2,6,250,보강,기상예보에 따른 제설대책 보강근무 지시," 1. 2012.02.06(월) 02:00 기상예보에 의하면 금일 06시 이후 강수확률 30, 기온 -2℃,  예보되어 제설대책 기상상황 및 근무기준에 따라 2012.02.06(월) 03:00부로 제설대책 보강 근무를 지시하니 각 제설기관에서는 제설대책에 임하여 주시기 바라며,



 2. 강설 시 램프, 언덕길 등 취약지점 및 대중교통 소통노선부터 우선 제설이 이루어 질수 있도록 사전준비에 만전을 기하여 주시기 바랍니다.

 

          ※ 기관별 근무현황을 “제설현장관리시스템” 금일 05:00까지 입력 하여 주시기 바랍니다.  끝.  "
2012-02-06,2012,2,6,1300,발령해제,제설대책 보강근무 해제(평상시근무로 전환),"          1. 금일 11:00 기상청 일기예보에 의하면 2012.02.06(월) 13:00 이후 서울지역 강수확률 30, 기온 4℃로 예보되어 2012. 2. 6(월) 13:00부로 제설대책 보강근무를 해제하니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바랍니다.  끝.

"
2012-02-08,2012,2,8,1800,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2012. 02. 08(수) 17:00  기상청 일기예보에 의하면 현재 기온 -4.4℃이며 금일 21:00이후 기온 -6℃, 강수화률 30％로 예보되고 있어 2012. 02. 08(수) 18:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 서울지역은 적설예보는 없으나 밤부터 새벽사이 눈이 내릴것으로 보이니 한강교량, 램프, 언덕길 등 취약지역 및 대중교통 노선부터 우선 제설이 이루어 질 수 있도록 사전살포 등 제설대책에 만전을 기하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설현장관리시스템에 20:00까지 입력하시기 바랍니다.    끝."
2012-02-09,2012,2,9,615,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2012. 02. 09. 05:00  기상청 일기예보에 의하면  06:00이후 서울지방 강수확률은 0％ 이며 기온이 -8.6℃로 예보되어  2012.02.09 06:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-02-12,2012,2,12,1800,보강,기상예보에 따른 제설대책 보강근무 지시,"         1. 2012.02.12(일) 17:00 기상예보에 의하면 금일 21:00 이후 강수확률 30, 기온 -2℃로 제설대책 기상상황 및 근무기준에 따라 2012.02.12(일) 18:00부로 제설대책 보강근무를 지시하니 각 제설기관에서는 제설대책에 임하여 주시기 바라며,



         2. 강설 시 램프, 언덕길 등 취약지점 및 대중교통 소통노선부터 우선 제설이 이루어 질 수 있도록 사전준비에 만전을 기하여 주시기 바랍니다.



         3. 아울러 기관별 근무 현황을 “제설현장관리시스템”에 금일 21:00까지 입력하여 주시기 바랍니다.  끝.

"
2012-02-13,2012,2,13,835,발령해제,제설대책 보강근무 해제," 1. 금일 08:00 기상청 일기예보에 의하면 12:00 이후 서울지방 강수확률 20, 기온 3.0℃로 예보되어 2012.02.13(월) 09:00시부로 제설대책 보강근무를 해제하니

     각 제설기관(부서)에서는 평시 상황근무 유지에 철저를 기하시기 바랍니다.  끝."
2010-12-17,2010,12,17,1800,발령해제,제설대책 1단계 근무해제 및 보강근무발령 예고,"          1. 2010.12.17(금) 17:00 기상예보에 의하면 금일 18시 이후 강수확률 20%이하로 예보되어 제설대책 1단계 근무를 해제하니 평시 근무체제로 전환하시기 바라며,



          2. 2010.12.19(일) 03시 이후 강수확률이 30%, 기온 2℃로 예보되어 기상상황에 따라 12. 18(토) 23:00부로 제설대책 보강근무 비상발령 예정임을 알려드리니 각 제설기관의 관련 직원들은 비상 소집시 즉시 응소가 가능하도록 시계외 출타를 자제하여 주시고 이후 기상 상황을 예의주시하여 주시기 바랍니다.  끝.  "
2011-01-12,2011,1,12,0,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 01. 12. 00:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 2℃ 이상으로 상승하여 2011-01-12 00:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2010-11-09,2010,11,9,500,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2010. 11. 10. 13:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 2℃ 이상으로 상승하여 2010-11-10 13:35부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2010-11-11,2010,11,11,2300,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 현재 서울시에서는 G20 정상회의가 진행되고 있습니다. 

             2. 2010.11.11(목) 17:00발표 기상청 예보에 의하면 서울의 기온이 최저 5.0℃에서 최고 12℃이며 예상 강수량이 10~24cm로 예보 되어 강설예보는 없으나, 성공적인 G20 정상회의가 개최를 위해 2010.11.11(목) 23:00부로 보강근무를 지시하니 각 제설기관 및 부서에서는 강설 즉시 제설작업에 임할 수 있도록 상황을 유지하시기 바라며,

         3. 제설현장관리시스템에 제설근무 실적을 입력하여 주시기 바랍니다.

"
